                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.70146,                    0.6,                      1,                0.67362,             0.00011424,             0.00011424,             0.00011424
                      2,                0.63578,                   0.75,                      1,                0.63198,             0.00023095,             0.00023095,             0.00023095
                      3,                0.51396,                0.76364,                      1,                 0.5661,             0.00034286,             0.00034286,             0.00034286
                      4,                0.38808,                0.83636,                      1,                0.51058,             0.00044996,             0.00044996,             0.00044996
                      5,                0.31801,                0.86364,                      1,                0.45977,             0.00055226,             0.00055226,             0.00055226
                      6,                0.20007,                0.85909,                      1,                0.45241,             0.00064331,             0.00064331,             0.00064331
                      7,                0.16782,                    0.9,                      1,                0.41437,             0.00062918,             0.00062918,             0.00062918
                      8,                0.12252,                0.91818,                      1,                0.40101,             0.00061504,             0.00061504,             0.00061504
                      9,                0.10513,                0.91818,                      1,                0.39539,              0.0006009,              0.0006009,              0.0006009
                     10,                0.10551,                0.82727,                      1,                0.47289,             0.00058677,             0.00058677,             0.00058677
                     11,                0.13775,                0.87273,                      1,                0.43526,             0.00057263,             0.00057263,             0.00057263
                     12,                0.06066,                0.93182,                      1,                0.38752,             0.00055849,             0.00055849,             0.00055849
                     13,                0.04285,                0.92273,                      1,                0.38647,             0.00054435,             0.00054435,             0.00054435
                     14,                0.06386,                0.92727,                      1,                 0.3881,             0.00053022,             0.00053022,             0.00053022
                     15,                0.04217,                0.90909,                      1,                0.39506,             0.00051608,             0.00051608,             0.00051608
                     16,                0.06557,                0.88182,                      1,                0.41271,             0.00050194,             0.00050194,             0.00050194
                     17,                0.04612,                0.90909,                      1,                0.40369,              0.0004878,              0.0004878,              0.0004878
                     18,                0.04071,                0.92727,                      1,                0.38219,             0.00047367,             0.00047367,             0.00047367
                     19,                0.05734,                0.91364,                      1,                0.39457,             0.00045953,             0.00045953,             0.00045953
                     20,                0.04909,                0.91364,                      1,                0.39519,             0.00044539,             0.00044539,             0.00044539
                     21,                0.10854,                0.90909,                      1,                0.39444,             0.00043126,             0.00043126,             0.00043126
                     22,                0.04761,                0.88636,                      1,                0.41518,             0.00041712,             0.00041712,             0.00041712
                     23,                0.09397,                0.90455,                      1,                0.39848,             0.00040298,             0.00040298,             0.00040298
                     24,                0.02726,                0.92273,                      1,                 0.3894,             0.00038884,             0.00038884,             0.00038884
                     25,                0.05713,                0.92273,                      1,                 0.3844,             0.00037471,             0.00037471,             0.00037471
                     26,                0.04117,                0.92727,                      1,                0.38259,             0.00036057,             0.00036057,             0.00036057
                     27,                 0.0449,                0.94091,                      1,                0.38208,             0.00034643,             0.00034643,             0.00034643
                     28,                0.05058,                0.91818,                      1,                0.38904,              0.0003323,              0.0003323,              0.0003323
                     29,                0.02714,                0.92727,                      1,                 0.3865,             0.00031816,             0.00031816,             0.00031816
                     30,                 0.0356,                0.94091,                      1,                0.37513,             0.00030402,             0.00030402,             0.00030402
                     31,                 0.0338,                0.94091,                      1,                0.37163,             0.00028988,             0.00028988,             0.00028988
                     32,                0.03523,                0.94091,                      1,                0.37261,             0.00027575,             0.00027575,             0.00027575
                     33,                0.04509,                0.93636,                      1,                0.37738,             0.00026161,             0.00026161,             0.00026161
                     34,                0.02114,                0.92273,                      1,                0.38374,             0.00024747,             0.00024747,             0.00024747
                     35,                0.01694,                0.91818,                      1,                0.38644,             0.00023334,             0.00023334,             0.00023334
                     36,                0.03118,                0.90909,                      1,                0.39197,              0.0002192,              0.0002192,              0.0002192
                     37,                 0.0153,                0.91818,                      1,                0.38957,             0.00020506,             0.00020506,             0.00020506
                     38,                0.01698,                0.92273,                      1,                0.38647,             0.00019092,             0.00019092,             0.00019092
                     39,                 0.0522,                0.91818,                      1,                0.38504,             0.00017679,             0.00017679,             0.00017679
                     40,                0.02159,                0.92273,                      1,                0.39031,             0.00016265,             0.00016265,             0.00016265
                     41,                0.03687,                0.92727,                      1,                0.38613,             0.00014851,             0.00014851,             0.00014851
                     42,                0.02075,                0.93182,                      1,                0.38495,             0.00013437,             0.00013437,             0.00013437
                     43,                0.00945,                0.92273,                      1,                0.38897,             0.00012024,             0.00012024,             0.00012024
                     44,                0.02621,                0.91818,                      1,                0.38935,              0.0001061,              0.0001061,              0.0001061
                     45,                0.02904,                0.90909,                      1,                0.39581,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                0.01628,                0.91818,                      1,                0.39123,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     47,                0.02307,                0.91364,                      1,                0.39416,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     48,                0.01612,                0.91364,                      1,                 0.3928,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     49,                0.01633,                0.90909,                      1,                0.39237,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     50,                0.00829,                0.92273,                      1,                0.38769,             2.1277e-05,             2.1277e-05,             2.1277e-05
